"Bachelor's degree","Total","Percent employed"
"Total, 20 to 29 years"," 1,248,000 ","69.6"
"Men"," 495,000 ","66.7"
"Women"," 753,000 ","71.5"
"20 to 24 years"," 1,079,000 ","67.9"
"25 to 29 years"," 168,000 ","80.3"
"Enrolled in school"," 314,000 ","46.1"
"Not enrolled in school"," 934,000 ","77.5"
""
